iter	Passed	Remaining
881	464481	62141
882	465037	61618
883	465592	61095
884	466099	60566
885	466671	60045
886	467226	59522
887	467702	58989
888	468292	58470
889	468845	57947
890	469390	57422
891	469913	56895
892	470468	56371
893	470945	55839
894	471478	55313
895	472023	54788
896	472565	54263
897	473019	53728
898	473513	53197
899	474002	52666
900	474526	52140
901	475109	51619
902	475671	51096
903	476218	50571
904	476716	50042
905	477235	49514
906	477782	48989
907	478360	48468
908	478942	47946
909	479477	47420
910	480024	46895
911	480505	46364
912	480995	45834
913	481563	45311
914	482057	44781
915	482635	44259
916	483109	43727
917	483621	43199
918	484187	42675
919	484768	42153
920	485297	41627
921	485781	41096
922	486267	40566
923	486846	40043
924	487335	39513
925	487935	38992
926	488469	38466
927	489011	37940
928	489546	37414
929	490099	36889
930	490599	36360
931	491162	35835
932	491727	35311
933	492206	34781
934	492716	34252
935	493207	33723
936	493747	33197
937	494304	32672
938	494824	32145
939	495364	31618
940	495888	31091
941	496403	30564
942	496888	30034
943	497404	29507
944	497934	28980
945	498431	28451
946	498991	27926
947	499517	27399
948	500038	26872
949	500578	26346
950	501140	25821
951	501681	25294
952	502219	24768
953	502704	24239
954	503249	23713
955	503728	23184
956	504220	22655
957	504757	22129
958	505279	21602
959	505813	21075
960	506344	20548
961	506950	20025
962	507451	19497
963	507988	18970
964	508618	18447
965	509127	17919
966	509688	17393
967	510207	16866
968	510667	16337
969	511191	15810
970	511690	15282
971	512270	14756
972	512847	14231
973	513387	13704
974	513937	13177
975	514482	12651
976	515019	12124
977	515581	11597
978	516075	11070
979	516591	10542
980	517153	10016
981	517628	9488
982	518214	8962
983	518704	8434
984	519197	7906
985	519703	7379
986	520267	6852
987	520783	6325
988	521306	5798
989	521861	5271
990	522360	4743
991	522832	4216
992	523382	3689
993	523900	3162
994	524444	2635
995	524942	2108
996	525471	1581
997	526006	1054
998	526586	527
999	527019	0
